id,name,dob,registered_date,phone,country
1,Bulbasaur,1952-09-06T21:03:15.366Z,2013-03-21T11:52:03.064Z,3802853330,TR
2,Ivysaur,1975-07-30T23:21:54.015Z,2007-01-03T17:36:20.431Z,569733902,FR
3,Venusaur,1966-02-17T01:03:00.723Z,2004-03-14T06:58:57.790Z,30430538,NO
4,Charmander,1970-06-20T04:42:19.582Z,2015-11-14T19:41:27.290Z,762786047,TR
5,Charmeleon,1948-07-24T08:31:51.176Z,2004-05-11T01:01:13.815Z,216273618,IE
6,Charizard,1999-01-02T09:16:56.762Z,2004-06-14T09:48:18.946Z,483752523,NL
7,Squirtle,1981-01-19T03:27:43.728Z,2016-09-08T05:31:41.312Z,153739422,IR
8,Wartortle,1972-02-26T07:26:47.749Z,2005-08-03T21:18:09.548Z,758688523,NL
9,Blastoise,1978-01-20T02:13:07.639Z,2020-04-22T17:34:04.529Z,8813144143,NZ
10,Caterpie,1982-12-01T16:12:00.728Z,2011-06-27T21:57:13.571Z,1524215292,GB
11,Metapod,1980-07-13T12:29:41.749Z,2011-08-21T14:44:15.892Z,954369483,AU
12,Butterfree,1969-06-22T19:37:20.428Z,2015-03-11T02:44:32.922Z,432252522,FR
13,Weedle,1975-09-26T11:37:17.496Z,2007-11-28T05:12:21.451Z,3174152287,DE
14,Kakuna,1952-09-15T12:17:10.770Z,2008-02-14T21:53:33.732Z,171048652,FR
15,Beedrill,1953-01-29T09:14:54.723Z,2020-12-12T08:37:16.865Z,6881400904,MX
16,Pidgey,1998-12-01T06:17:48.238Z,2009-09-17T01:16:42.736Z,198605198,GB
17,Pidgeotto,1965-09-19T09:19:20.248Z,2007-05-07T22:37:47.619Z,31861399,DK
18,Pidgeot,1969-03-31T11:40:21.430Z,2012-07-20T21:51:43.418Z,307028393,FR
19,Rattata,1968-10-30T18:39:05.425Z,2010-04-30T17:24:42.552Z,987481375,UA
20,Raticate,1996-03-10T08:38:08.981Z,2017-06-21T03:28:03.525Z,1317588018,GB
21,Spearow,1974-01-31T14:05:15.803Z,2018-06-18T14:01:52.408Z,920292919,AU
22,Fearow,1963-09-24T03:05:23.530Z,2005-10-08T08:23:32.080Z,766024567,CH
23,Ekans,1965-07-08T23:50:11.060Z,2015-07-19T00:56:27.554Z,4603163454,US
24,Arbok,1973-03-19T19:38:17.219Z,2016-06-15T13:26:35.434Z,964639503,ES
25,Pikachu,1988-09-06T15:24:36.588Z,2006-05-16T20:13:04.585Z,448194713,FR
26,Raichu,1947-09-26T19:33:00.864Z,2017-12-04T14:39:09.480Z,3447928378,TR
27,Sandshrew,1965-03-28T06:04:21.196Z,2021-11-30T09:19:15.917Z,209865548,FR
28,Sandslash,1958-05-12T11:42:44.047Z,2008-04-09T00:18:01.255Z,6760570983,DE
29,Nidoran-f,1948-02-19T16:24:17.404Z,2013-07-25T15:14:57.296Z,24248757,NO
30,Nidorina,1977-03-18T10:29:03.174Z,2014-05-29T11:23:23.092Z,311989712,RS
31,Nidoqueen,1956-03-03T11:20:58.507Z,2009-02-27T05:24:45.095Z,9967943000,IN
32,Nidoran-m,1974-11-09T03:23:37.945Z,2016-11-25T02:37:34.725Z,32781658,NO
33,Nidorino,1998-05-12T01:17:41.594Z,2009-01-19T17:04:56.993Z,,CA
34,Nidoking,1975-01-27T13:48:31.884Z,2021-01-10T09:10:18.152Z,566639801,FR
35,Clefairy,1979-04-02T22:58:44.085Z,2020-10-27T08:34:52.519Z,32250573,DK
36,Clefable,1990-12-16T22:45:27.524Z,2014-01-17T00:22:36.675Z,7938347755,IR
37,Vulpix,1970-01-09T15:15:47.002Z,2009-06-30T16:26:26.770Z,329604757,FR
